specimen_id,species,attachment,colorinmasse,distribution,staining,breadth,edge,othercomment
30181,amanita bisporigera,free,cream,subcrowded,no,not observed,not observed,
30182,amanita suballiacea,free,white,crowded,no,not observed,not observed,
30183,amanita oberwinkleriana,narrowly adnexed,cream-light yellow,sub crowded,no,not observed,not observed,
30184,amanita suballiacea,free,cream to light yellow,subcrowded,no,not observed,not observed,
30185,,narrowly adnexed,cream,subcrowded,no,not observed,not observed,
30186,amanita sp 44,free,white to cream,subcrowded,no,not observed,not observed,
30187,amanita suballiacea,narrowly adnexed,white,crowded,no,not observed,not observed,
30187_2,amanita suballiacea,narrowly adnexed,white,crowded,no,not observed,not observed,
30187_3,amanita suballiacea,narrowly adnexed,white,subcrowded,no,not observed,not observed,
30188,,free,cream-white,crowded,no,not observed,not observed,
30189,amanita rhacopus,free,white,subcrowded,no,not observed,crenate,
30190,amanita frostiana,free,white,crowded,no,not observed,not observed,
30191,amanita frostiana,free,light yellow,crowded,no,not observed,not observed,
30192,amanita muscaria var. guessowii,narrowly adnexed,white-cream,crowded,no,not observed,not observed,
30193,,free,white,crowded,no,not observed,not observed,
30193_2,,free,white,crowded,no,not observed,not observed,
30193_3,,free,white,crowded,no,not observed,not observed,
30194,,narrowly adnexed,white but browning,crowded,no,not observed,not observed,
30194_2,,narrowly adnexed,white but browning,crowded,no,not observed,not observed,
30195,amanita amerivirosa,free,dingey white,crowded,no,not observed,not observed,
30196,amanita muscaria var. guessowii,free,white-dingey white,subcrowded,no,not observed,not observed,
30197,amanita muscaria var. guessowii,free,white,subcrowded,no,not observed,not observed,
30198,,free,white,crowded,no,not observed,not observed,minute forking (photo 07305)
30199,,free,white,crowded,no,not observed,not observed,
30199_2,,free,white,crowded,no,not observed,not observed,
30199_3,,free,white,crowded,no,not observed,not observed,
30199_4,,free,white,crowded,no,not observed,not observed,
30200,amanita bisporigera,free,white,crowded,no,not observed,not observed,
30201,,free,yellow,crowded,no,not observed,not observed,
30202,,free,white,crowded,no,not observed,not observed,
30203,,free,white,crowded,no,not observed,not observed,
30204,,free,white,crowded,no,not observed,not observed,
30204_2,,free,white,crowded,no,not observed,not observed,
30204_3,,free,white,crowded,no,not observed,not observed,
30204_4,,free,white,crowded,no,not observed,not observed,
30205,amanita flavoconia,free,white-yellow white,crowded,no,not observed,not observed,
30206,amanita flavoconia,free,white with slight tinge of yellow,crowded,no,not observed,not observed,
30207,,free,"white, turning brown",crowded,no,not observed,not observed,thick gills
30208,,free,white,crowded,no,not observed,not observed,
30208_2,,free,white,crowded,no,not observed,not observed,
30209,amanita amerivirosa,free,white,crowded,no,not observed,not observed,
30210,amanita muscaria var. guessowii,free,white,crowded,no,not observed,not observed,
30211,amanita muscaria var. guessowii,,,,,,,
30212,,narrowly adnexed,dingey cream,crowded,no,not observed,crenate,
30213,,free,light yellow,crowded,no,not observed,not observed,
30214,,free,light yellow,crowded,no,not observed,not observed,
30215,,free,white,crowded,no,not observed,not observed,
30216,,narrowly adnexed,cream,crowded,no,not observed,fimbriate,
30217,,free,white,crowded,no,not observed,not observed,
30218,,free,white,crowded,no,not observed,not observed,
30219,,free,white,crowded,no,not observed,not observed,
30220,,free,cream,subcrowded,no,not observed,fimbriate,
30221,,adnexed,cream,crowded,no,broad,smooth,
30222,,free,white,crowded,no,broad,crenate,
30223,,free,white,crowded,no,broad,crenate,
30223_2,,free,white,crowded,no,broad,crenate,
30223_3,,free,white,crowded,no,broad,crenate,
30224,,free,white,crowded,no,broad,crenate,
30224_2,,free,white,crowded,no,broad,crenate,
30225,amanita populiphila,narrowly adnexed,cream,subcrowded,no,not observed,fimbriate,
30226,amanita sp ny06,free,white,subcrowded,no,broad,fimbriate,
30226_2,amanita sp ny06,free,white,subcrowded,no,broad,fimbriate,
30227,amanita sp ny06,adnexed,white,subcrowded,no,broad,smooth,
30228,amanita flavoconia,free,white yellow tinge toward margin,crowded,no,not observed,smooth,
30229,,free,white,subcrowded,no,not observed,smooth,
30230,amanita aff. rubescens,adnexed,white,subcrowded,no,not observed,smooth,
30230_2,amanita aff. rubescens,adnexed,white,subcrowded,no,not observed,smooth,
30230_3,amanita aff. rubescens,adnexed,white,subcrowded,no,not observed,smooth,
30230_4,amanita aff. rubescens,adnexed,white,subcrowded,no,not observed,smooth,
30230_5,amanita aff. rubescens,adnexed,white,subcrowded,no,not observed,smooth,
30230_6,amanita aff. rubescens,adnexed,white,subcrowded,no,not observed,smooth,
30230_7,amanita aff. rubescens,adnexed,white,subcrowded,no,not observed,smooth,
30230_8,amanita aff. rubescens,adnexed,white,subcrowded,no,not observed,smooth,
30231,amanita aff. rubescens,adnexed,white,crowded,no,not observed,smooth,
30232,amanita aff. rubescens,adnexed,white,crowded,brick,not observed,smooth,
30233,amanita rhacopus,adnexed,white,subdistant,no,not observed,smooth,
30234,amanita rhacopus,free,grey,subcrowded,no,not observed,smooth,
30235,,adnexed,white,crowded,no,not observed,not observed,
30236,,adnexed,white,subcrowded,no,broad,not observed,
30237,,free,white,subcrowded,no,not observed,smooth,
30238,,free,white,crowded,no,broad,crenate,
30239,amanita virginiana,adnexed,white,subcrowded,no,narrow,smooth,
30239_2,amanita virginiana,adnexed,white,subcrowded,no,narrow,smooth,
30240,,free,white,subcrowded,no,broad,crenate,spore print white
30242,,free,white,subdistant,no,not observed,not observed,
30243,,not observed,white,crowded,no,broad,smooth,
30244,,free,white,crowded,no,not observed,not observed,
30245,,adnexed,cream,subcrowded,no,not observed,not observed,
30246,amanita brunnescens,,,,,,,
30247,,free,white,subcrowded,no,broad,smooth,
30248,amanita brunnescens,free,white,crowded,no,broad,smooth,
30249,amanita sp ny06,adnexed,white,subcrowded,no,not observed,not observed,
30249_2,amanita sp ny06,adnexed,white,subcrowded,no,not observed,not observed,
30250,,free,white,subcrowded,no,not observed,not observed,
30250_2,,free,white,subcrowded,no,not observed,not observed,
30251,,free,white,crowded,no,broad,crenate,
