specimen_id,species,type,texture,color,layered,toughorflimsy
30181,amanita bisporigera,saccate,membranous,white,not layered,flimsy
30182,amanita suballiacea,saccate,thick membranous,white,not layered,tough
30183,amanita oberwinkleriana,collared,submembranous,white,not layered,flimsy-ish
30184,amanita suballiacea,saccate,membranous,white,not layered,flimsy
30185,,saccate,thick membranous,white with orange tints,not layered,tough
30186,amanita sp 44,saccate,membranous,white,not layered,flimsy
30187,amanita suballiacea,saccate,membranous,white,not layered,flimsy
30187_2,amanita suballiacea,saccate,membranous,white,not layered,flimsy
30187_3,amanita suballiacea,saccate,membranous,white,not layered,flimsy
30188,,saccate,membranous,white,not layered,tough
30189,amanita rhacopus,saccate,membranous,dingey white,not layered,flimsy
30190,amanita frostiana,collared,membranous,white,not layered,tough
30191,amanita frostiana,loose patches,submembranous,yellow,layered,flimsy
30192,amanita muscaria var. guessowii,as warts,membranous,dingey white,layered,
30193,,saccate,membranous,white,not layered,flimsy
30193_2,,saccate,membranous,white,not layered,flimsy
30193_3,,saccate,membranous,white,not layered,flimsy
30194,,saccate,membranous,white,not layered,toughish
30194_2,,saccate,membranous,white,not layered,toughish
30195,amanita amerivirosa,saccate,membranous,white,not layered,toughish
30196,amanita muscaria var. guessowii,as warts,membranous,dingey white,layered,tough
30197,amanita muscaria var. guessowii,not evident,,,not layered,
30198,,saccate,membranous,grey,not layered,tough
30199,,saccate,membranous,white,not layered,tough
30199_2,,saccate,membranous,white,not layered,tough
30199_3,,saccate,membranous,white,not layered,tough
30199_4,,saccate,membranous,white,not layered,tough
30200,amanita bisporigera,saccate,membranous,white,not layered,toughish
30201,,not evident,,,not layered,
30202,,not evident,,,not layered,
30203,,saccate,membranous,dingey white,not layered,tough
30204,,not evident,,,not layered,
30204_2,,not evident,,,not layered,
30204_3,,not evident,,,not layered,
30204_4,,not evident,,,not layered,
30205,amanita flavoconia,not evident,,,not layered,
30206,amanita flavoconia,not evident,,,not layered,
30207,,saccate,membranous,white,not layered,tough
30208,,limbate,membranous,white,not layered,tough
30208_2,,limbate,membranous,white,not layered,tough
30209,amanita amerivirosa,limbate,membranous,dingey white - brown,not layered,tough
30210,amanita muscaria var. guessowii,as warts,submembranous,light yellow,layered,
30211,amanita muscaria var. guessowii,limbate,membranous,dingey white,not layered,tough
30212,,saccate,membranous,light brown to brown,not layered,tough
30213,,limbate,membranous,white,not layered,tough
30214,,limbate,membranous,white,not layered,tough
30215,,saccate,membranous,white,not layered,tough
30216,,limbate,membranous,white,not layered,tough
30217,,limbate,membranous,white,not layered,tough
30218,,limbate,membranous,white,not layered,toughish
30219,,limbate,submembranous,white,not layered,tough
30220,,sheathing,membranous,white,not layered,tough
30221,,collared,membranous,white,not layered,tough
30222,,collared,membranous,cream,not layered,tough
30223,,collared,membranous,cream,not layered,tough
30223_2,,collared,membranous,cream,not layered,tough
30223_3,,collared,membranous,cream,not layered,tough
30224,,collared,membranous,cream,not layered,tough
30224_2,,collared,membranous,cream,not layered,tough
30225,amanita populiphila,limbate,membranous,yellow tinge,not layered,tough
30226,amanita sp ny06,limbate,submembranous,white,not layered,flimsy
30226_2,amanita sp ny06,limbate,submembranous,white,not layered,flimsy
30227,amanita sp ny06,limbate,submembranous,white,not layered,flimsy
30228,amanita flavoconia,not evident,,,not layered,
30229,,not evident,,,not layered,
30230,amanita aff. rubescens,not evident,,,not layered,
30230_2,amanita aff. rubescens,not evident,,,not layered,
30230_3,amanita aff. rubescens,not evident,,,not layered,
30230_4,amanita aff. rubescens,not evident,,,not layered,
30230_5,amanita aff. rubescens,not evident,,,not layered,
30230_6,amanita aff. rubescens,not evident,,,not layered,
30230_7,amanita aff. rubescens,not evident,,,not layered,
30230_8,amanita aff. rubescens,not evident,,,not layered,
30231,amanita aff. rubescens,not evident,,,not layered,
30232,amanita aff. rubescens,not evident,,,not layered,
30233,amanita rhacopus,sheathing,pulverulent,,not layered,
30234,amanita rhacopus,sheathing,pulverulent,dark grey,not layered,
30235,,limbate,submembranous,white,not layered,
30236,,limbate,submembranous,white light brown tinge,not layered,
30237,,sheathing,submembranous,white,not layered,flimsy
30238,,not evident,,,not layered,
30239,amanita virginiana,saccate,membranous,white,not layered,tough
30239_2,amanita virginiana,saccate,membranous,white,not layered,tough
30240,,saccate,submembranous,white,not layered,flimsy
30242,,collared,submembranous,yellow,layered,
30243,,sheathing,membranous,cream,not layered,tough
30244,,sheathing,membranous,white,not layered,tough
30245,,sheathing,membranous,light orange,not layered,flimsy
30246,amanita brunnescens,not evident,,,not layered,
30247,,sheathing,submembranous,white,not layered,
30248,amanita brunnescens,not evident,,,not layered,
30249,amanita sp ny06,limbate,membranous,white,not layered,flimsy
30249_2,amanita sp ny06,limbate,membranous,white,not layered,flimsy
30250,,,,,,
30250_2,,,,,,
30251,,sheathing,membranous,white,not layered,flimsy
30252,amanita aff. rubescens,,,,,
30253,amanita brunnescens,not evident,,,not layered,
30254,amanita brunnescens,not evident,,,not layered,
30255,,sheathing,membranous,tan,not layered,
30256,amanita rhacopus,sheathing,membranous,white staining grey?,not layered,flimsy
30257,,sheathing,submembranous,white,not layered,flimsy
30257_2,,sheathing,submembranous,white,not layered,flimsy
30258,amanita brunnescens,not evident,,,not layered,
30259,amanita brunnescens,limbate,membranous,light brown,not layered,tough
30260,amanita solaniolens,limbate,membranous,light brown.,not layered,tough.
30261,,collared,membranous,yellow tinge,layered,tough
30262,,saccate,membranous,white,not layered,
30263,amanita brunnescens,not evident,,,not layered,
30264,amanita aff. rubescens,not evident,,,not layered,
30265,,limbate,membranous,white,not layered,tough
30267,,sheathing,membranous,white,not layered,
30268,,sheathing,membranous,cream,not layered,
30269,,sheathing,membranous,white,not layered,
30270,,sheathing,membranous,white,not layered,
30271,,loose patches,pulverulent,white,not layered,
30272,amanita brunnescens,loose patches,pulvernulent,brown,not layered,
30273,,saccate,submembranous,white,not layered,
30274,,saccate,membranous,cream,not layered,tough thick
30274_2,,saccate,membranous,cream,not layered,tough thick
30275,amanita bisporigera,saccate,submembranous,white,not layered,flimsy
30276,,saccate,membranous,white,not layered,tough
30277,amanita bisporigera,saccate,submembranous,white,not layered,flimsy
30278,,sheathing,membranous,white,not layered,thick
30279,,limbate,membranous,light grey,not layered,tough
30280,amanita populiphila,limbate,membranous,white with yellow stain,not layered,tough
30280_2,amanita populiphila,limbate,membranous,white with yellow stain,not layered,tough
30280_3,amanita populiphila,limbate,membranous,white with yellow stain,not layered,tough
30280_4,amanita populiphila,limbate,membranous,white with yellow stain,not layered,tough
30280_5,amanita populiphila,limbate,membranous,white with yellow stain,not layered,tough
30280_6,amanita populiphila,limbate,membranous,white with yellow stain,not layered,tough
30280_7,amanita populiphila,limbate,membranous,white with yellow stain,not layered,tough
30281,amanita sp 44,saccate,submembranous,white,not layered,toughish
30282,amanita sp 44,sheathing,membranous,white,not layered,
30283,,not evident,,,not layered,
30284,amanita suballiacea,saccate,membranous,white,not layered,
30285,amanita sp 44,sheathing,membranous,white,not layered,
30286,amanita porphyria,limbate,membranous,light brown,not layered,
30287,,not evident,,,not layered,
30291,,limbate,membranous,light brown,not layered,
30293,amanita porphyria,not evident,,,not layered,
40220,,limbate,membranous,cream,not layered,tough
