specimen_id,species,type,texture,color,layered,toughorflimsy,
30181,Amanita bisporigera,saccate,membranous,white,not layered,flimsy,
30182,Amanita suballiacea,saccate,thick membranous,white,not layered,tough,
30183,Amanita oberwinkleriana,collared,submembranous,white,not layered,flimsy-ish,
30184,Amanita suballiacea,saccate,membranous,white,not layered,flimsy,
30185,,saccate,thick membranous,white with orange tints,not layered,tough,
30186,Amanita sp 44,saccate,membranous,white,not layered,flimsy,
30187,Amanita suballiacea,saccate,membranous,white,not layered,flimsy,
30187_2,Amanita suballiacea,saccate,membranous,white,not layered,flimsy,
30187_3,Amanita suballiacea,saccate,membranous,white,not layered,flimsy,
30188,,saccate,membranous,white,not layered,tough,
30189,Amanita rhacopus,saccate,membranous,dingey white,not layered,flimsy,
30190,Amanita frostiana,collared,membranous,white,not layered,tough,
30191,Amanita frostiana,Loose patches,submembranous,yellow,layered,flimsy,
30192,Amanita muscaria var. guessowii,as warts,membranous,dingey white,layered,na,
30193,,saccate,membranous,white,not layered,flimsy,
30193_2,,saccate,membranous,white,not layered,flimsy,
30193_3,,saccate,membranous,white,not layered,flimsy,
30194,,saccate,membranous,white,not layered,toughish,
30194_2,,saccate,membranous,white,not layered,toughish,
30195,Amanita amerivirosa,saccate,membranous,white,not layered,toughish,
30196,Amanita muscaria var. guessowii,as warts,membranous,dingey white,layered,tough,
30197,Amanita muscaria var. guessowii,not evident,na,na,not layered,na,
30198,,saccate,membranous,grey,not layered,tough,
30199,,saccate,membranous,white,not layered,tough,
30199_2,,saccate,membranous,white,not layered,tough,
30199_3,,saccate,membranous,white,not layered,tough,
30199_4,,saccate,membranous,white,not layered,tough,
30200,Amanita bisporigera,saccate,membranous,white,not layered,toughish,
30201,,not evident,na,na,not layered,na,
30202,,not evident,na,na,not layered,na,
30203,,saccate,membranous,dingey white,not layered,tough,
30204,,not evident,na,na,not layered,na,
30204_2,,not evident,na,na,not layered,na,
30204_3,,not evident,na,na,not layered,na,
30204_4,,not evident,na,na,not layered,na,
30205,Amanita flavoconia,not evident,na,na,not layered,na,
30206,Amanita flavoconia,not evident,na,na,not layered,na,
30207,,saccate,membranous,white,not layered,tough,
30208,,limbate,membranous,white,not layered,tough,
30208_2,,limbate,membranous,white,not layered,tough,
30209,Amanita amerivirosa,limbate,membranous,dingey white - brown,not layered,tough,
30210,Amanita muscaria var. guessowii,as warts,submembranous,light yellow,layered,na,
30211,Amanita muscaria var. guessowii,limbate,membranous,dingey white,not layered,tough,
30212,,saccate,membranous,light brown to brown,not layered,tough,
30213,,limbate,membranous,white,not layered,tough,
30214,,limbate,membranous,white,not layered,tough,
30215,,saccate,membranous,white,not layered,tough,
30216,,limbate,membranous,white,not layered,tough,
30217,,limbate,membranous,white,not layered,tough,
30218,,limbate,membranous,white,not layered,toughish,
30219,,limbate,submembranous,white,not layered,tough,
30220,,sheathing,membranous,white,not layered,tough,
30221,,collared,membranous,white,not layered,tough,
30222,,collared,membranous,cream,not layered,tough,
30223,,collared,membranous,cream,not layered,tough,
30223_2,,collared,membranous,cream,not layered,tough,
30223_3,,collared,membranous,cream,not layered,tough,
30224,,collared,membranous,cream,not layered,tough,
30224_2,,collared,membranous,cream,not layered,tough,
30225,Amanita populiphila,limbate,membranous,yellow tinge,not layered,tough,
30226,Amanita sp NY06,limbate,submembranous,white,not layered,flimsy,
30226_2,Amanita sp NY06,limbate,submembranous,white,not layered,flimsy,
30227,Amanita sp NY06,limbate,submembranous,white,not layered,flimsy,
30228,Amanita flavoconia,not evident,na,na,not layered,na,
30229,,not evident,na,na,not layered,na,
30230,Amanita aff. rubescens,not evident,na,na,not layered,na,
30230_2,Amanita aff. rubescens,not evident,na,na,not layered,na,
30230_3,Amanita aff. rubescens,not evident,na,na,not layered,na,
30230_4,Amanita aff. rubescens,not evident,na,na,not layered,na,
30230_5,Amanita aff. rubescens,not evident,na,na,not layered,na,
30230_6,Amanita aff. rubescens,not evident,na,na,not layered,na,
30230_7,Amanita aff. rubescens,not evident,na,na,not layered,na,
30230_8,Amanita aff. rubescens,not evident,na,na,not layered,na,
30231,Amanita aff. rubescens,not evident,na,na,not layered,na,
30232,Amanita aff. rubescens,not evident,na,na,not layered,na,
30233,Amanita rhacopus,sheathing,pulverulent,na,not layered,na,
30234,Amanita rhacopus,sheathing,pulverulent,dark grey,not layered,na,
30235,,limbate,submembranous,white,not layered,na,
30236,,limbate,submembranous,white light brown tinge,not layered,na,
30237,,sheathing,submembranous,white,not layered,flimsy,
30238,,not evident,na,na,not layered,na,
30239,Amanita virginiana,saccate,membranous,white,not layered,tough,
30239_2,Amanita virginiana,saccate,membranous,white,not layered,tough,
30240,,saccate,submembranous,white,not layered,flimsy,
30242,,collared,submembranous,yellow,layered,na,
30243,,sheathing,membranous,cream,not layered,tough,
30244,,sheathing,membranous,white,not layered,tough,
30245,,sheathing,membranous,light orange,not layered,flimsy,
30246,Amanita brunnescens,not evident,na,na,not layered,na,
30247,,sheathing,submembranous,white,not layered,na,
30248,Amanita brunnescens,not evident,na,na,not layered,na,
30249,Amanita sp NY06,limbate,membranous,white,not layered,flimsy,
30249_2,Amanita sp NY06,limbate,membranous,white,not layered,flimsy,
30250,,na,na,na,na,na,
30250_2,,na,na,na,na,na,
30251,,sheathing,membranous,white,not layered,flimsy,
30252,Amanita aff. rubescens,na,na,na,na,na,
30253,Amanita brunnescens,not evident,na,na,not layered,na,
30254,Amanita brunnescens,not evident,na,na,not layered,na,
30255,,sheathing,membranous,tan,not layered,na,
30256,Amanita rhacopus,sheathing,membranous,white staining grey?,not layered,flimsy,
30257,,sheathing,submembranous,white,not layered,flimsy,
30257_2,,sheathing,submembranous,white,not layered,flimsy,
30258,Amanita brunnescens,not evident,na,na,not layered,na,
30259,Amanita brunnescens,limbate,membranous,light brown,not layered,tough,
30260,Amanita solaniolens,limbate,membranous,light brown.,not layered,tough.,
30261,,collared,membranous,yellow tinge,layered,tough,
30262,,saccate,membranous,white,not layered,na,
30263,Amanita brunnescens,not evident,na,na,not layered,na,
30264,Amanita aff. rubescens,not evident,na,na,not layered,na,
30265,,limbate,membranous,white,not layered,tough,
30267,,sheathing,membranous,white,not layered,na,
30268,,sheathing,membranous,cream,not layered,na,
30269,,sheathing,membranous,white,not layered,na,
30270,,sheathing,membranous,white,not layered,na,
30271,,Loose patches,pulverulent,white,not layered,na,
30272,Amanita brunnescens,Loose patches,pulvernulent,brown,not layered,na,
30273,,saccate,submembranous,white,not layered,na,
30274,,saccate,membranous,cream,not layered,tough thick,
30274_2,,saccate,membranous,cream,not layered,tough thick,
30275,Amanita bisporigera,saccate,submembranous,white,not layered,flimsy,
30276,,saccate,membranous,white,not layered,tough,
30277,Amanita bisporigera,saccate,submembranous,white,not layered,flimsy,
30278,,sheathing,membranous,white,not layered,thick,
30279,,limbate,membranous,light grey,not layered,tough,
30280,Amanita populiphila,limbate,membranous,white with yellow stain,not layered,tough,
30280_2,Amanita populiphila,limbate,membranous,white with yellow stain,not layered,tough,
30280_3,Amanita populiphila,limbate,membranous,white with yellow stain,not layered,tough,
30280_4,Amanita populiphila,limbate,membranous,white with yellow stain,not layered,tough,
30280_5,Amanita populiphila,limbate,membranous,white with yellow stain,not layered,tough,
30280_6,Amanita populiphila,limbate,membranous,white with yellow stain,not layered,tough,
30280_7,Amanita populiphila,limbate,membranous,white with yellow stain,not layered,tough,
30281,Amanita sp 44,saccate,submembranous,white,not layered,toughish,
30282,Amanita sp 44,sheathing,membranous,white,not layered,na,
30283,,not evident,na,na,not layered,na,
30284,Amanita suballiacea,saccate,membranous,white,not layered,na,
30285,Amanita sp 44,sheathing,membranous,white,not layered,na,
30286,Amanita porphyria,limbate,membranous,light brown,not layered,na,
30287,,not evident,na,na,not layered,na,
30291,,limbate,membranous,light brown,not layered,na,
30293,Amanita porphyria,not evident,na,na,not layered,na,
40220,,limbate,membranous,cream,not layered,tough,
